year,title,url
2008,"Diagonal free field matrix correlators, global symmetries and giant gravitons",https://arxiv.org/pdf/0806.1911.pdf
2008,Permutations and the Loop,https://arxiv.org/pdf/0801.2094.pdf
2007,Bounds on Van der Waerden Numbers and Some Related Functions,https://arxiv.org/pdf/0706.4420.pdf
2007,Diagonal multi-matrix correlators and BPS operators in N=4 SYM,https://arxiv.org/pdf/0711.0176.pdf
2007,Half-BPS SU(N) Correlators in N=4 SYM,https://arxiv.org/pdf/hep-th/0703202.pdf
2006,Automorphisms of the complex of domains,https://arxiv.org/pdf/math/0606592.pdf
2006,"Correlators, Probabilities and Topologies in N=4 SYM",https://arxiv.org/pdf/hep-th/0611290.pdf
2004,Positivity aspects of the Fantappie transform,https://arxiv.org/pdf/math/0404518.pdf
2003,Automorphisms of Torelli groups,https://arxiv.org/pdf/math/0311250.pdf
2002,Hilbert spaces of Dirichlet series,https://arxiv.org/pdf/math/0210314.pdf
1998,On the asphericity of a symplectic M3 x S1,https://arxiv.org/pdf/math/9807088.pdf
1996,On Pisier's Construction,https://arxiv.org/pdf/math/9603212.pdf
